message,rpid_str,parent,ctime,like,mid,sex
确实是有点夸大了不也不能说夸大，应该是说过于艺术化了，现实里头下属都是严格服从上司的命令的，不会像王朗那种，而且外派出去的哪怕是去接人的都是经过严格挑选的不会派一个没有什么经验的人过去（来自我的一位朋友表达的看法，他本人是外交部的职员但还没外派过）,139356950240,0,1669558335,3,199342295,男
没有一个地方是天生就和平无忧的啊。,139175690496,0,1669462100,5,51137467,保密
张译饰演的这个角色其实原型不止一个，他一路上经历的大部分事都是历史上真实的撤侨行动中遇到的，在极短的时间里为上万人打印一张纸的临时护照，同胞被扣押需要用生命跟反叛军交涉，因为战争双方都没有保护大使馆的意识所以大使馆随时面临被炸的风险，三人开车前往营救被困同胞的途中遇到枪战（不是主角光环的作用，现实中的原型真的遇到了枪战，子弹没有打到油箱和备用的汽油，也没有打到人，靠着黑天的掩护才逃出来的）。,138239080864,0,1668868347,43,629511470,保密
