message,rpid_str,parent,ctime,like,mid,sex
哈哈哈,197494229984,0,1701913657,0,445643386,男
有的时候我实在不明白为何，我军战斗力如此之高，科技发达，人人都能吃饱饭，上学，还有人跪舔它国？,196379302608,0,1701217564,1,12941252,女
崇洋媚外的思想,198336872640,196379302608,1702389473,0,587908693,男
全国14亿人总有些脑子不正常的人,198813201296,196379302608,1702667346,0,3891903,保密
回复 @克里米亚提灯女神 :如果这么说的话那远远不止“有些”，其实这原因还是复杂的，而且有的还是敏感的。,199019174576,198813201296,1702793317,0,3546591786961637,保密
这原因其实还是复杂的。,199019525200,196379302608,1702793413,0,3546591786961637,保密
回复 @于清汉 :不止是这个原因,199019538928,198336872640,1702793431,0,3546591786961637,保密
给你详细解释的话，我这号就没了。[滑稽],203161735792,196379302608,1705232737,0,696465253,保密
夜袭我军，拿我们前辈那套打我们，印度的神奇脑回路……,195800316784,0,1700838634,0,153422929,男
