message,rpid_str,parent,ctime,like,mid,sex
没记错76空突师是最后殿后部队吧，桥断了不全被俘？怎么就出现在克里米纳了呢？亚空间升维折跃吗,150032615216,0,1675148399,3,125858487,保密
因为乌没留住，阿特木斯克这种包围圈乌都有机会成建制撤退，整个赫尔松突出部这么大块地，浮桥渡轮加上先前撤出来几个旅的炮火掩护，想要走掉太容易了,152229180192,150032615216,1676315042,0,65357448,保密
草,138001945056,0,1668733095,15,293730753,男
有无懂哥解释一下？,137934702688,0,1668681495,6,27737437,男
"🦢的大部队混在平民队伍了跑路了，还把桥给断了，殿后的那批人在渡口被海老师反复覆盖,有小机灵鬼换上平民衣服跑路的，比较轴的就选择不走渡口直接游过去。[笑哭]",138245267264,137934702688,1668870850,53,1513257,保密
回复 @塔博里茨基_114514 :别人说实话，你没话题只会看IP扣帽子呢[星星眼],139342892672,139308053488,1669552871,30,1609249573,男
回复 @塔博里茨基_114514 :IP和说不说实话有什么关系捏[打call],139342847744,139308053488,1669552887,19,1609249573,男
回复 @大纪鬼WOW :这人都删评了，你真的知道他说的什么吗？还实话，我看你是没听过实话[捂脸],139345065328,139342892672,1669553724,4,1781683473,男
回复 @塔博里茨基_114514 :那您拿出证据来啊,139352227728,139345065328,1669556532,9,1609249573,男
回复 @大纪鬼WOW :点击查看对话，再看看我再回复谁，再看看这个有没有发言就对了，简单的小知识，不需要我教你吧,139354355296,139352227728,1669557311,2,1781683473,男
回复 @塔博里茨基_114514 :我怎么就看到你一上来就攻击IP呢[星星眼],139397812368,139354355296,1669590559,9,1609249573,男
回复 @大纪鬼WOW :你不必转移话题，对我没用，你先看看这人说的什么，还有，别用你那小鬼表情，这并不能使你看起来有多酷,139400439824,139397812368,1669593553,4,1781683473,男
回复 @塔博里茨基_114514 :谁先转移话题？,139401138880,139400439824,1669594134,5,1609249573,男
回复 @塔博里茨基_114514 :是你先攻击IP的吧[星星眼],139401082944,139400439824,1669594174,5,1609249573,男
