message,rpid_str,parent,ctime,like,mid,sex
从熊兵成长变成凶兵[OK],185642354592,0,1694520460,25,439975013,保密
应该是雄兵,185784171744,185642354592,1694609910,3,440746272,男
确实有个国民党士兵队伍打自己人拉得的不行，抗美援朝时打外敌时凶得不到了[OK],185833312432,185642354592,1694651776,6,439975013,保密
回复 @大保鸡 :辽沈战役起义的曾泽生60军，抗美援朝时期汉江阻击战一战成名。,186006160496,185833312432,1694759643,6,357883975,保密
人变鬼，鬼变人[doge]你以为[doge],185562964224,0,1694477070,9,20514724,女
电视剧还是电影，名字呢[星星眼],185308295088,0,1694317986,7,27215740,保密
这应该是高希希拍的大决战 剧版。[吃瓜],185447852560,185308295088,1694401937,2,414823196,男
回复 @针吥戳 :巨别扭[辣眼睛],185697125184,185447852560,1694563646,0,45115235,男
