message,rpid_str,parent,ctime,like,mid,sex
啊这,5816604934,0,1637628457,2,196701339,保密
戰爭的本質就是醜陋的爭奪利益，沒有甚麼正義，哪個國家都一樣,5815837289,0,1637599581,8,330244420,保密
抗日战争呢？,5816991021,5815837289,1637634456,1,433283502,保密
回覆 @叶哲泰3 :我說的是戰爭發起人,5823628196,5816991021,1637730666,0,330244420,保密
战争，不争利益争啥？,5831863266,5815837289,1637845529,0,435106554,保密
永远不要否定道德和正义。,94415349664,5815837289,1638813548,2,54414703,男
只有永远的利益,94420118720,5815837289,1638831725,0,645690810,保密
回覆 @圣斯基 :沒有絕對的正義這種東西，人永遠只會覺得自己才是正義的一方,94421525648,94415349664,1638834786,0,330244420,保密
回复 @Sean-77 :扯蛋，法西斯就是人类绝对恶。跟丑国一样毫无底线。,94847293984,94421525648,1639198336,0,12304757,男
回覆 @园焰大发 :你是不是回錯人還是沒看懂我講啥[藏狐],94848534320,94847293984,1639199056,0,330244420,保密
回复 @Sean-77 :陈胜吴广哪？,95118573984,5823628196,1639405464,0,3057859,保密
从历史角度来看，战争具有多面性，从来都不是以对错来评判的,5815223701,0,1637593456,1,12449435,男
