message,rpid_str,parent,ctime,like,mid,sex
你这个标题取得还真是不错呢,136712078672,0,1667891834,0,500469121,男
这新闻是假的，赶紧把我顶上去，让更多人知道，如果这评论没了，大概率是UP删的。,135514702160,0,1667092526,1,1203860831,保密
啊🤔？100%假还是只是有杜撰的部分,135937937312,135514702160,1667375641,0,1007287727,保密
回复 @吉吉国王最牛逼 : 看看其他评论你也就知道了,135942483184,135937937312,1667378532,0,1203860831,保密
回复 @各类游戏爱好者一枚 :我还是不明白,135943398352,135942483184,1667379128,0,1007287727,保密
回复 @各类游戏爱好者一枚 :有没有相关联合国官网会议报告的链接啊,135943423360,135942483184,1667379175,0,1007287727,保密
放嘴炮的地方 核电站问题 解决了吗,129270526608,0,1662637224,0,503521042,保密
