message,rpid_str,parent,ctime,like,mid,sex
这厮正在对无所不用其极地恶心中国,172097485824,0,1687900255,0,337981616,女
笑死大鹅和乌贼都残了最好,171787571648,0,1687738729,0,111799438,保密
犹太式宣传，把自己放在道德至高点，其实是自己害了乌克兰人,171497692496,0,1687584051,0,472057968,保密
