message,rpid_str,parent,ctime,like,mid,sex
美国和盟友跟我们脱钩，各种制裁，就是要把14亿人圈在国内，压缩国际空间，我感同身受！为了人类文明的底线，团结一切正义力量进步人士，让国际歌再次响起，军事援助阿拉伯人，将帝国驱逐出中东！瓦解霸权主义，带领人类进入新的纪元！,190246485856,0,1697383147,3,3494351931968068,男
以色利是美国人的爹！以色列不发话不敢走,190178701168,0,1697353017,4,177295576,保密
开始往东亚遮了，看见没。没憋好屁呀。,190173582640,0,1697350409,5,501706444,保密
看出来第三个热点也要起,190174120768,190173582640,1697350651,0,1804422843,保密
东亚可不是中东，他也就是往这边泼点脏水，为啥？其实就是告诉你我在这边忙着，我眼镜可盯着你们这头呢。说白了就是变相的警告。朝鲜战争后遗症美国好了吗？,190174850240,190173582640,1697351011,2,501706444,保密
