message,rpid_str,parent,ctime,like,mid,sex
一战定球王！,205976940592,0,1706839033,722,12725054,保密
还真有傻子信了[喜极而泣],205979997856,205976940592,1706840605,38,514299872,保密
什么才是真正的球王啊（战术后仰）,205980631952,205976940592,1706840855,89,424631716,保密
C罗的精神状态有点可怜了[笑哭],205980785296,205976940592,1706840955,168,349547795,保密
TMD笑死了这表情。[笑哭][笑哭][笑哭],205981156096,205976940592,1706841122,94,3772428,保密
阿伟罗这表情真有点变态了,205981827952,205976940592,1706841427,103,327057647,保密
阿伟罗眼神带队,205982600784,205976940592,1706841789,52,1422686270,保密
七小罗童（三岁bushi）,205989764768,205976940592,1706844894,17,45022829,保密
没拿世界杯冠军的球员神奇什么？不懂,205991614160,205976940592,1706845622,13,383641744,保密
祖国人,205992023072,205976940592,1706845807,12,285264728,男
跟葡萄牙世界杯上那张图有点像,205993198208,205976940592,1706846331,4,147922452,保密
都说了，胜利没有c罗说不定踢的更好。上个赛季稳居联赛第一，结果来了球玊，直接变联赛第二，塔利斯卡射手榜本身遥遥领先，结果他来了以后抢走了核爆权，最后塔利斯卡也只能屈居第二。不过胜利其实也没啥办法，不管有没有玊，胜利肯定都是干不过新月的，新月的内援本身就厉害，而买的外援都是当打之年实力派，本身球市也是沙特最好的。上个赛季是胜利最好的机会，新月这么几年就这一次低谷，可惜被人搅了。,205968696080,0,1706834142,314,18876370,男
确实，罗越越更容易防,205970016992,205968696080,1706835034,3,645591285,保密
儒味太重了,205970646944,205968696080,1706835456,0,30126182,男
本来就是。C罗那个反越位意识一造一个准，罗开七越都有过，很难想象这是一个前顶级前锋的意识。。,205972847072,205968696080,1706836798,22,158639589,保密
回复 @Jhawkerry :8越！,205973152176,205972847072,1706836951,6,480354397,男
少听点谣言吧，确实很多传言说什么C罗参赛前利雅得胜利少赛一轮还领先第二6分（也有说4分或2分的，反正五花八门）。但真实情况是联赛排名第一不假，C罗首秀在第14轮对阵达曼协作，而前13轮利雅得胜利积分是30分，排在第二的是吉达联合28分，上赛季沙特联赛总计30轮，在13/30轮的积分中领先第二2分，说是“稳居第一”的话也未免太过牵强了些吧？当然了，丢掉第一这点也确实不可否认就是了。,205973256288,205968696080,1706837033,9,36608907,保密
新月没补强是吧,205974108944,205968696080,1706837494,0,45560696,男
不用说不定……没有C罗真不一定比新月差[tv_doge],205975178624,205968696080,1706838096,3,36162244,男
但塔利斯卡个人肯定还是开心的，c罗来了让他距离巴西国家队更近了,205975909056,205968696080,1706838524,1,43297362,保密
回复 @梅尔夫 :so？这赛季呢，都年度54球了，不会还是四大皆空吧！[喜极而泣],205976718912,205973256288,1706838937,4,251536267,保密
回复 @匆匆过客知多少 :so？C罗上场了吗，没上场说个屁啊，现在连在担架上的都有资格说话了吗？,205976852864,205974293584,1706839009,0,251536267,保密
利雅得胜利没有罗哥的拖累，真nb,205971003056,0,1706835690,592,400584795,男
葡萄牙：factos👍🏻👀,205971138544,205971003056,1706835767,25,445506818,保密
回复 @冰泉冷涩玄绫绝 :求求罗哥放过葡萄牙吧[笑哭],205971363280,205971138544,1706835880,14,400584795,男
看见队长袖标带在塔子胳膊上有点感动,205971453472,205971003056,1706835936,42,3493280866110123,保密
回复 @真实男孩 :列支敦士登，卢森堡，安道尔连夜逃离,205971459168,205971363280,1706835947,16,445506818,保密
葡萄牙这几年的黄金一代才是真绝望,205975907680,205971003056,1706838521,76,32310028,男
瞎说什么大实话[嗑瓜子],205980414864,205971003056,1706840746,2,351136577,男
不止胜利这样感慨[吃瓜],205989242240,205971003056,1706844665,2,45022829,保密
胜利的黄金一代[doge],205991837056,205971003056,1706845777,3,12140722,女
回复 @何以歌寻常 :葡萄牙黄金一代泪目了[笑哭],205991986384,205991837056,1706845847,7,400584795,男
回复 @七泣泣 :葡萄牙队[吃瓜][吃瓜][吃瓜],205992131264,205989242240,1706845856,5,400584795,男
