message,rpid_str,parent,ctime,like,mid,sex
牛的,167579104944,0,1685383359,0,28059342,保密
西甲球队平均多出三个后卫[doge],163257736784,0,1682940102,1,421464139,保密
中超表示，只要你能来，老子给的起钱,154233612432,0,1677559420,1,87353367,保密
给得起？,161380114192,154233612432,1681832464,0,646847869,保密
回复 @涉嫌违规永久禁号 :真给得起,162719951648,161380114192,1682616197,0,87353367,保密
回复 @老婆饼不要画大饼 :给得起？给得起为啥免签那些欧洲踢不上球的不买几个三五百万的？,162757177168,162719951648,1682654576,0,646847869,保密
回复 @涉嫌违规永久禁号 :球员是活的啊，沙特报4亿欧也得看球员意向啊，真要是梅西有意向，中超绝对给的起，别看中超联赛体量不行但就是不缺钱，光中超查出的贪污都是论亿起步的,164289953664,162757177168,1683524482,0,385826880,保密
回复 @轻活 :钱不少，用在足球的钱呢？别偷换概念,164333869552,164289953664,1683546523,0,646847869,保密
