message,rpid_str,parent,ctime,like,mid,sex
梅西连放铲的机会都没给,156373758912,0,1678875178,0,18393089,男
"卡洛斯：你这过人技术厉害啊，跟谁学的？[微笑]
梅西：啊？我6岁起在我们村口就是这么过人的啊，没人教[OK]
卡洛斯：[囧]",145723303216,0,1673085613,2,38609164,保密
因为他们老了，梅西还年轻,145452602048,0,1672961921,0,262703837,保密
06年卡纳瓦罗巅峰状态，带队拿世界杯。,145629588960,145452602048,1673037884,0,330882148,保密
你是一点都不看啊，卡纳瓦罗06年世界杯冠军之后又拿了金球，巅峰期，[微笑][微笑][微笑][微笑]你快看看球吧别当理中客在这啥也不知道就装逼了,156779131184,145452602048,1679124977,6,3493128902281664,保密
多点看看抖音短视频集锦吧，了解都不去了解都乱巴巴,185645981168,145452602048,1694522092,0,7669537,保密
