message,rpid_str,parent,ctime,like,mid,sex
@若泽迪尼斯阿伟罗,212335306032,0,1710408766,0,502034018,保密
这不就是同一个逻辑吗，见面合影的主办方没和巴萨方面安排到位，然后就渲染孩子们的不容易来施压,212336086208,212335306032,1710409104,0,580192122,保密
回复 @若泽迪尼斯阿伟罗 :问题是梅西自己出来也是这样啊，只不过这不仅仅是他1个人啊，北京卫视都说的这么明确了后面梅西出来的时候也是这样,212336344720,212336086208,1710409247,0,502034018,保密
回复 @小飞阳ii :说真的，我是觉得这个活动的安排肯定不到位，一开始那几个球员出来的时候连要干什么都不知道全场尴尬，这和花钱把普通小孩带进来见面蹭合影的流程有什么区别？不知道球员们到底有没有搞清孩子们的身份。商业活动要办就规范一点，不是连个具体的流程都执行不了，全靠球员们临场发挥，然后对着他们的一举一动捕风捉影。,212337546112,212336344720,1710409837,0,580192122,保密
"回复 @若泽迪尼斯阿伟罗 :05皇马对待🇨🇳小球迷：
当这次天津市体育局花了500万买下了皇马来天津的比赛，开会的时候，他们设想和安排了许多美好的场面。副总指挥：“下面运动员入场，不是个别的，运动员入场奏乐。这阵就是我原来写的拉德斯基进行曲，我让他去掉，到那儿没有，轻快了，没有了怎么办？那体育场有什么音乐放什么音乐，皇马整个队入场，入到哪儿，入到中圈。下边请天津市少年儿童代表，天津市少年儿童代表。小宋记着，向皇马球员献花和足球，30个足球。” 原定7月22日下午5点在天津泰达体育场进行的训练赛，皇马队迟到了一个多小时才来到体育场，迎接他们的是依然热情如火的球迷。不过，似乎一切都没有按照预定的方案进行，入场式、献花、合影无一实现。
这场原定120分钟的训练赛最终的结果让球迷们大失所望。几乎原定的一切内容都没有实现，球迷们期望看到皇马内部精彩的训练，但球员们在球场上显得漫不经心，原定的任意球大赛不到5分钟便草草首场，原定的与中青队的比赛则根本就没有进行。",212338104480,212337546112,1710410073,2,272719391,男
回复 @年来慢慢 :其实一个道理，不要指望大部分欧美人对遥远的中国有什么特殊的好感，当然一般人也不会有什么恶意，主要取决于个人素质而不是意识形态,212338235264,212338104480,1710410185,0,580192122,保密
回复 @若泽迪尼斯阿伟罗 :安排没到位也有，但是还有一点就是已经和他们说玩什么游戏了结果又是拒绝又是敷衍了事[笑哭],212339417664,212337546112,1710410702,0,502034018,保密
回复 @小飞阳ii :主持人说要玩游戏，巴萨新闻官说没安排，不就说明这些人谈活动的时候根本没安排细节么，怕不是只谈了一个训练前的见面合影活动，结果临场再说要互动。我甚至觉得那几个二线球员是因为队内地位比较低要先到训练场，对这个活动也不了解，结果一来就被叫去互动，当时就尬住了,212340575632,212339417664,1710411187,0,580192122,保密
回复 @若泽迪尼斯阿伟罗 :好吧你说是就是吧，我无言以对了[笑哭],212377740576,212340575632,1710427020,0,502034018,保密
"05皇马对待🇨🇳小球迷：
当这次天津市体育局花了500万买下了皇马来天津的比赛，开会的时候，他们设想和安排了许多美好的场面。副总指挥：“下面运动员入场，不是个别的，运动员入场奏乐。这阵就是我原来写的拉德斯基进行曲，我让他去掉，到那儿没有，轻快了，没有了怎么办？那体育场有什么音乐放什么音乐，皇马整个队入场，入到哪儿，入到中圈。下边请天津市少年儿童代表，天津市少年儿童代表。小宋记着，向皇马球员献花和足球，30个足球。” 原定7月22日下午5点在天津泰达体育场进行的训练赛，皇马队迟到了一个多小时才来到体育场，迎接他们的是依然热情如火的球迷。不过，似乎一切都没有按照预定的方案进行，入场式、献花、合影无一实现。
这场原定120分钟的训练赛最终的结果让球迷们大失所望。几乎原定的一切内容都没有实现，球迷们期望看到皇马内部精彩的训练，但球员们在球场上显得漫不经心，原定的任意球大赛不到5分钟便草草首场，原定的与中青队的比赛则根本就没有进行。",212182677776,0,1710313965,2,272719391,男
"05皇马中国行态度：
皇马第二次中国之行在一场大雨中草草收场。令人气愤的是，皇马短短4天先后6次戏耍热情的中国媒体和球迷。
20日，皇马首次放中国媒体“鸽子”。面对着从机场一路追到香河的50多家媒体记者，皇马方面居然以主席弗洛伦蒂诺中午才抵达香河不知计划为由，取消了晚上7点的发布会。要知道，首日召开新闻发布会早已成国际惯例。21日回到北京，早已与央视达成协议录制节目的皇马再次爽约，让数百中国球迷在炎热的演播厅内苦等了4个小时。对此，央视主持人张斌毫不客气地表示：“皇马欺骗了全体中国球迷的感情。”
22日，皇马又把国内惟一的某服装赞助厂商搞得骑虎难下。该公司早已在昆仑饭店定下会议厅，并邀请了全国各地的经销商共300人来京目睹皇马球星风采，然而从上午10点一直到下午2点，又是苦等一场。当天晚上前往天津的训练更是让花钱买票的球迷哭笑不得，主办方花500万元出场费换来的只是劳尔、齐达内几脚有气无力的传球。
23日从上午9点一直到下午1点，冒着瓢泼大雨的数百名球迷看到只有劳尔一人还不到10分钟的商业活动。最后就是24日晚的比赛，少了小贝的皇马让专门花钱看小贝的球迷厌恶到极点。",212182667472,0,1710313948,3,272719391,男
