message,rpid_str,parent,ctime,like,mid,sex
全世界最清楚梅西比C罗强的其实就是C罗自己,146071289552,0,1673252349,230,362241131,保密
还有莱万，已经被巴萨这帮人打服了[偷笑][偷笑][偷笑],146125361872,146071289552,1673270820,34,10062311,保密
回复 @bili_10062311 :万子还没来时各种口嗨，来了以后屁都不放一个了[偷笑][偷笑],146142954480,146125361872,1673276342,51,3286936,保密
"回复 @gugu鸽子 : 来巴萨之前：转会到巴萨给我动力,在这拿金球可能要比在拜仁更容易[奋斗][奋斗][奋斗]
来巴萨之后：现役任何球员都无法与他（梅西）相提并论[再见][再见][再见]",146145326640,146142954480,1673277107,68,10062311,保密
回复 @bili_10062311 :万子还是这群人里最粗的那条腿[藏狐]那废烂和法蒂看的想一拳打爆电脑,146146642160,146145326640,1673277448,14,3286936,保密
回复 @gugu鸽子 :法蒂伤仲永    半月板都摘了   就这样了,146149661152,146146642160,1673278508,5,279754742,男
回复 @bili_10062311 :这还是加强过的巴萨,146180779536,146125361872,1673307384,7,10569224,男
回复 @bili_10062311 :万子，我还是喜欢你桀骜不驯的样子,146206259200,146145326640,1673320604,5,68966186,保密
回复 @gugu鸽子 :巴萨：无所谓我会出手,146206272016,146142954480,1673320621,1,68966186,保密
万子去了巴萨以后头皮发麻,146243075248,146071289552,1673334292,2,5728281,保密
回复 @gugu鸽子 : 别骂法蒂，心疼，毕竟大伤过,146404218864,146146642160,1673410591,0,9353983,男
还有一点，说别嘲笑下山的神。他比梅西大两岁。不是，嘲笑他的时候，说他年纪大多了比踢两年了。比数据的时候，也不见你们减下去两年比啊[无语][无语],146190525088,0,1673313810,113,95056811,保密
一些反噬文学甚至让我开始怀疑唯物主义了...太玄了 次次反噬,145984060000,0,1673198909,2322,7270624,女
回复 @豆丝吃豆丝 :北海幼儿园，沙特球王,145994049296,145993429520,1673209901,125,242190092,保密
有点期待皇马吧来人p图说梅西梦幻时刻拿欧冠了，皇马吧反着看当笑话就行[doge],145994333648,145984060000,1673210190,234,102780404,保密
回复 @沙特球玊跳水阿伟罗 :[脱单doge]要是皇马吧奶一口梅西少一个欧冠 我很好奇会发生什么,145994762624,145994333648,1673211572,127,13589165,女
回复 @豆丝吃豆丝 :一直这么说啊 说三 因为他有一届决赛没上,145999031040,145994762624,1673220524,16,18289293,保密
回复 @再学哲学的小学僧 :那照他们这么算，C罗的欧洲杯也得给他清算掉，C罗世界杯最好成绩变成16郎,145999312672,145999031040,1673220800,71,441739186,保密
回复 @豆丝吃豆丝 :零零七 沙特球王,145999786208,145993429520,1673221232,14,8833109,男
回复 @豆丝吃豆丝 :等C罗拿了亚冠，再说梅西没有亚冠[doge],146000138352,145993429520,1673221618,32,334606706,男
罗迷经典著作《偷一si一，法甲特工，沙特球王》，全部反噬到C罗自己身上了。,146000049568,145984060000,1673221658,104,441739186,保密
"回复 @伊凡度娜丝 :皇马吧现在贼逗 都是逆天发言
有个人发图 说巴萨吧的让他们选3欧冠vs0欧洲杯 还是4欧冠vs1欧洲杯 他说对方智力有问题 我就回了句 不是让你选了嘛 就被封了[藏狐]现在都特别脆弱",146001338912,145999312672,1673222730,51,18289293,保密
我想起了罗姐说的:低级别联赛的老鼠，转眼阿维罗就当上了。,146001496112,145984060000,1673222857,70,274379952,保密
