message,rpid_str,parent,ctime,like,mid,sex
我罗三脚琼斯，只有b费冲上去了。结果他跑了把b费扔那了[吃瓜]这可能就是领袖气质,195036344432,0,1700378874,1125,416467654,男
只会惹事，别人追来就当缩头乌龟[tv_呕吐],195036399504,195036344432,1700378965,39,265700929,男
我骆是合格的刺客没错了：单挑时果断出击，团战时马上隐身[星星眼],195036882176,195036344432,1700379105,21,167396,保密
回复 @冬夜微焰 : 你指望一个用姐姐账号发言的人当堂堂正正的男人？下面有缺陷，但是性格上也有缺陷吗？,195037280448,195036399504,1700379336,30,146211167,保密
错，我骡这么聪明可不会打群架，怂的和蛋一样，只敢一对一挑事,195037717616,195036344432,1700379599,11,525143633,保密
记得当时范戴克一上来，阿伟罗立马怂了。。。,195037794016,195036344432,1700379646,81,392968528,男
那会b费还拦了下范戴克罗伯逊他们，结果被撞了好几下，利物浦那边留意到他的时候一致地把他往后边推，自己全往罗的方向去走，结果b费还要上来劝阻，直接给人抱住不让过去，不过罗溜得实在太快了不然绝对被堵着,195037970096,195036344432,1700379723,58,44652033,保密
回复 @青岛散人-在路上 :范戴克是谁？同样是冲突，世界杯上对梅西笑脸相迎，对我罗却那么凶狠，他不尊重我罗，他甚至不是一个球员[滑稽],195041818224,195037794016,1700381727,50,416467654,男
踢达曼协作三次尝试螺跤的那场，有一幕利雅得的和对面起冲突，阿伟罗直接缩起来了，领袖气质属实拉满。[吃瓜],195042409568,195036344432,1700382014,20,15407080,保密
我罗常常是活动发起人，踢三脚发起球队活动，转身就能潇洒离开，让小弟们去面对。梅西顶多算是活动参与者[doge]发起人都算不上，算个凑数的[doge]众所周知，活动发起者组织能力都挺棒的，一下能聚集很多人[doge],195043104352,195036344432,1700382384,21,106838808,保密
罗哥这种行为真的丢人,195043983568,195036344432,1700382829,3,400584795,男
不需要把梅西造神，也不需要对梅西圣人要求和道德绑架，理智喜欢有血有肉有担当的球王梅西就行了[打call],195042898912,0,1700382250,381,1824323716,保密
你们印度的球王吗,195046155216,195042898912,1700383962,0,671306090,保密
说得对,195054490128,195042898912,1700387927,2,382141164,保密
和结晶也没必要说什么，懂的自然能理解，结晶那边连世界杯都封不住他们嘴，还指望啥[doge],195075344384,195042898912,1700396043,2,709651,保密
回复 @草莓蛋卷 :是的，你和结晶讲道德时他们和你扯球技，你和他们讲球技时他们跟你扯道德[无语],195078645408,195075344384,1700397290,3,1824323716,保密
回复 @草莓蛋卷 :去看看地上足球那个视频，已经把梅西的世界杯冠军称之为点球内幕了,195112506256,195075344384,1700410327,1,161483995,保密
梅西的好是发自内心的，从来不是靠营销靠吹出来的，在另一个平台看见有人说“这是不是梅西好人人设的反噬”时我真的无语住了。[辣眼睛],195120649296,195042898912,1700415130,18,6185934,女
回复 @佛系菠萝包 :可能在螺结晶眼里好人就要老老实实，不能反抗不能打架，被骂不能还口那种[喜极而泣],195126756032,195120649296,1700423013,9,33435108,保密
你ID太搞笑了，哈哈哈,195140043024,195042898912,1700443771,2,1570502494,保密
回复 @螺子螺孙眉目清 :你的ID也一针见血、不枉多让[偷笑],195154402128,195140043024,1700452218,3,1824323716,保密
回复 @不可控的太浩梭 :以前老老实实被人说没有领袖气质，现在有了又要来说脏咯[滑稽],195262848176,195126756032,1700506336,3,668984749,保密
这动作莫德里奇都有过，截一帧图的事,195045248016,0,1700383461,237,16151504,男
卡卡也有过。但没有人会因此质疑他们人品差。,195066579328,195045248016,1700392983,54,87915084,女
回复 @要来一杯马黛茶吗 :不是球王人品差，是裁判人品差[脱单doge],195079226560,195066579328,1700397515,4,12572370,保密
莫德里奇拿黄牌了啊，而且是拉波尔特扇了他一耳光莫德里奇才有锁喉动作的,195093967712,195045248016,1700403141,9,437063906,女
回复 @蓝莓果酱千层挞 :梅西为队友出头，怎么了?[滑稽],195095492400,195093967712,1700403693,8,687706213,保密
回复 @蓝莓果酱千层挞 :那是裁判的事不是梅西的,195096882240,195093967712,1700404166,9,385509243,保密
回复 @要来一杯马黛茶吗 :我是看懂了，某些人其实专门突出强调这个黑就是想满足他们看他们心目中的&#34;梅粉&#34;的乐子，除此之外可能都不清楚自己在做什么,195103088656,195066579328,1700406520,21,290529958,保密
回复 @蓝莓果酱千层挞 :那是裁判的问题，这事儿给梅西一张黄牌也没人会说啥。裁判可能是在现场一片混乱情况下没留意到这么短暂的一下动作，乌拉圭球员也没顺势倒地啥的去找裁判要牌，所以就错过了。,195108309776,195093967712,1700408510,19,107858343,保密
回复 @左拳右拳六Sean :明显是裁判偏袒阿根廷，就算是中超的主裁判，有锁喉动作绝对是直红的,195110665008,195108309776,1700409492,8,513884537,男
回复 @Messi喜夺世界杯 :对手只是口头挑衅的话，身为队长的梅西完全没必要用锁喉这种直红手段出头的。类比同一天格林锁喉，那是因为对手已经和克莱打在一起才加入战局的，只能说梅西十分不理智。做错了就是错了，没有什么为队友出头之说。,195111296912,195095492400,1700409787,1,513884537,男
回复 @暗影默客 :裁判和梅西都有问题，梅西不该这么冲动，裁判应该给牌,195113513408,195111296912,1700410805,0,292651817,男
