message,rpid_str,parent,ctime,like,mid,sex
喜欢梅西已经是过去式了，事到如今他的真面目暴露出来，我才意识到我根本就不了解真实的他，一切都是我的理想美化，这份喜欢是如此的盲目且愚蠢。[微笑],210927365952,0,1709534102,0,415100824,女
梅桑家的樱花开了,210665497984,0,1709375119,0,1733390461,保密
"难道只有我是在看足球比赛？

迈阿密国际vs香港队
4比1输了，这还是在梅西没上场的情况 还特么是自己的主场。[doge]

在主场而且对方还没上主力，这都打不过，还想骂对方主c没出场？  别丢脸了好不，这件事国外都在阴阳怪气笑翻了。[笑哭]",210237491728,0,1709113138,0,15416157,保密
我都怀疑你懂不懂足球了[笑哭],211273766256,210237491728,1709745369,0,104936865,保密
"回复 @_艾萨克-牛顿_ :没有人比你更懂足球[吃瓜]

你懂王",211286553696,211273766256,1709769451,0,15416157,保密
回复 @_艾萨克-牛顿_ :体育不要参杂政治，梅西都没有发表过任何侮辱中华的言论。   是一群想拿梅西赚钱的国人破防了。,211290755248,211273766256,1709773135,0,15416157,保密
回复 @弱弱滴问一句 :对对对，你说得对,211297323216,211290755248,1709777639,0,104936865,保密
原来是玩原神的啊，对不起，是我态度不好,211297554384,210237491728,1709777764,0,104936865,保密
回复 @弱弱滴问一句 :对对对,211307415904,211307098208,1709783532,0,104936865,保密
回复 @弱弱滴问一句 :[吃瓜],211307473952,211307098208,1709783541,0,104936865,保密
回复 @_艾萨克-牛顿_ :我这人偏爱日产汽车，你是不是要给家扣一个不爱国的帽子。[doge]还要来砸我的车。,211307798928,211297554384,1709783707,0,15416157,保密
"回复 @_艾萨克-牛顿_ :地球上有四大神秘组织。它们威力巨大甚至可以毁天灭地。
分别是，🇺🇸的种族骑士，🇰🇷的男女天平，🇬🇧的环保卫士，🇸🇪的圣母圣人，以及🇨🇳的（愤）斗（青）年。

这些势力都为世界混乱做出了不可磨灭的贡献。[微笑]   为世界终结添砖加瓦。 三体人看了都要震惊落泪。 

尔我的朋友，你一定是最后一个组织的光荣成员。[吃瓜]",211309000768,210237491728,1709784264,0,15416157,保密
回复 @弱弱滴问一句 :你直接暴露了你神神的身份,211311278784,211309000768,1709785287,0,104936865,保密
