message,rpid_str,parent,ctime,like,mid,sex
支持取消吆西世界杯，顶起来[支持][支持][支持],211897897424,0,1710133654,0,3537106945182208,保密
哈哈，你关注的MrBeast前两天还去现场看梅西踢球了，结果梅西受伤没上被鸽了，你可以私信他让他在youtube上写小作文带领你们一起，他外网粉丝可多了[喜极而泣],212181263920,211897897424,1710313058,2,481205447,男
这玩意是个职业球员都会，赛场上也经常能看见，没有所谓的多那么厉害,211830071376,0,1710080680,0,1578664717,保密
没多厉害但你就是防不住[滑稽],211848162976,211830071376,1710088186,1,1529552031,保密
回复 @1501很有含金量 :我又不是职业球员,211855173280,211848162976,1710093239,0,1578664717,保密
回复 @1501很有含金量 :你能防得住吗？,211855108064,211848162976,1710093266,0,1578664717,保密
回复 @摩西摩西sub :6[OK],211877407744,211855108064,1710123263,0,439101328,保密
回复 @摩西摩西sub :总共评论三句话 都是典中典,211886184864,211855108064,1710128305,1,291099402,保密
梅西这个幅度大，速度快。,212179337328,211830071376,1710311882,0,1922517,男
回复 @爱玩游戏的阿韦罗 :过人主张一个出其不意，只要时机把握好，再普通的过人都有含金量,212210278176,212179337328,1710327733,0,1578664717,保密
回復 @摩西摩西sub :幅度小了就没有出其不意的效果，速度慢不顺滑容易被反应过来。,212216929136,212210278176,1710330637,0,1922517,男
回复 @爱玩游戏的阿韦罗 :我就是这个意思，我讲的已经很客观,212254514368,212216929136,1710346315,0,1578664717,保密
侏儒好控制重心,211790036784,0,1710064087,0,18192761,男
