message,rpid_str,parent,ctime,like,mid,sex
“全程摆着个黑脸”，又是没看比赛蹭热度的,211818149456,0,1710075860,0,19026294,男
up主真的是理中客，没有任何贬义的,210493249136,0,1709277712,0,20753686,男
"能不能胡说八道，梅西厌恶中国？还扯什么天主教，难道你不知道去年阿根廷中国行梅西打满全场且赛后谢场的，就连这次香港行，训练赛都和球迷友好互动，比赛黑脸完全是下半场主办方催梅西上场，但也没签要求上场的合同啊，外加确实有点小伤，换谁谁高兴，硬往厌恶中国上扯，梅黑就是屁大点事都能给整出个新高度
另外别扯什么梅西只能在迈阿密混，只有100美元票价，难道你不知道刚刚对洛杉矶银河的比赛最低票价550刀，6分钟售罄？造谣前先做好功课吧",210479815360,0,1709269987,1,394683375,保密
放你妈的批吧，主办方都知道他上不了了，请他好几次跟球迷说几句话他都不答应。又扯合同呢，你知道你吆西在萨尔瓦多350万美元出场费能踢半场吗？在香港650万话都说不了？就看不上你们这种吆西狗，吆西都看不上你们还上赶着洗呢，在看不起你们这一点上我和吆西是一样的,210943801120,210479815360,1709543805,2,61412921,男
"回复 @luluwenbo :https://www.bilibili.com/video/BV1bx4y1y7Je
嘴巴能不能干净点，你自己看",211022172192,210943801120,1709598954,0,394683375,保密
回复 @又只大大鸟 :我看你奶奶，我看封面就不用看，封面就tm是一个反华的营销号，也就你们吆西粉当个救命稻草到处发。不用扯别的，你就说吆西嗓子是不是伤了就完事了，嗓子伤了吗吆西？,211104287568,211022172192,1709643198,2,61412921,男
回复 @luluwenbo :电视台新闻，都实锤的事情了，别tm天天反华反华的，你倒是说说怎么个反华，发表啥反华言论了？,211135156576,211104287568,1709656089,0,394683375,保密
回复 @luluwenbo :人家是电视台新闻，哪来的营销号，你说反华，证据呢，没有就别放屁,211135541488,211104287568,1709656318,0,394683375,保密
回复 @又只大大鸟 :你去问问梅毒阿撩这个视频能不能发，哈哈，阿撩发了，为啥立马删掉！梅毒真是想让梅西在中国彻底封杀啊！拿着反华媒体的视频到处宣传！笑死了！你赶紧去问问阿撩为啥把这个视频删了,211153473744,211022172192,1709683306,1,277515403,保密
回复 @又只大大鸟 :笑死你主子不是说腹股沟，内收肌有问题？还在合同,211293484224,211135541488,1709775161,2,22751762,保密
