message,rpid_str,parent,ctime,like,mid,sex
谢谢你的视频，10年正式的认真看球，到14年上大学学足球，再到考了教练证，一直再到现在看梅西12年了，看过10年南非超级豪华阵容的失败，14年熬过半决赛荷兰的阿根廷，决赛压力过大，好多机会都被浪费，然后加时赛被绝杀，，18年俄罗斯世界杯小组赛踉踉跄跄，好不容易挺进淘汰赛，却提前遇上法国，终于到了22年，梅西的体能更差了，过人也不能像以前那样一对多，只能一对一，这次空前团结的阿根廷让梅西在享受比赛，虽然输给沙特，但是好在比赛都在赢，赢波兰，赢墨西哥，淘汰赛赢澳大利亚，又是点球大战赢了荷兰，然后半决赛复仇克罗地亚。现在只剩法国了，不论成败与否，我也会好好的牢记这一刻，梅西在世界杯舞台的最后一舞，加油，阿根廷🇦🇷！翱翔在卡塔尔上空吧，潘帕斯雄鹰,142143688032,0,1671200156,3018,16088805,男
加油[拥抱],142152217344,142143688032,1671203321,5,107953440,男
潘帕斯雄鹰必将翱翔在卢塞尔球场上空!我们坚信!,142157314800,142143688032,1671205231,15,399807973,男
大学才学球，真是勇敢又坚韧，让人佩服,142178724512,142143688032,1671225366,2,302606817,男
回复 @沉醉于雪中 :永远忘不了，14年颁奖的时候，梅西凝视大力神杯的样子，眼里的不甘，失落,142190123296,142152217344,1671240066,16,16088805,男
回复 @无尽小亮的科普日常 :一直都有在踢，大学专业一点的练[藏狐][藏狐][藏狐],142190137920,142178724512,1671240093,0,16088805,男
回复 @先有黑猫后有天 : 那张照片是错位拍的吧,142207085568,142190123296,1671248229,0,37102374,男
梅西他，真的圆梦了,142481677296,142143688032,1671389320,1,107953440,男
转自央视：请不要相信梅西能创造奇迹，但一定要相信他无畏逆境，要强不息[OK],142124297392,0,1671192928,2931,1348600486,保密
想赢法还是很难吧,142135343056,142124297392,1671197137,7,1485298214,保密
回复 @三毛溫特斯 :不难 势均力敌又不是差距大,142138926544,142135343056,1671198424,24,1008140002,保密
回复 @三毛溫特斯 :你要相信进决赛了没有不可能，只能说法国确实强。,142140214416,142135343056,1671198893,28,182493932,男
回复 @三毛溫特斯 :法国确实强，但也不是没有机会，拖到加时赛，阿根廷必赢！,142150938544,142135343056,1671202845,4,341744914,保密
回复 @三毛溫特斯 :都进决赛了，翻盘和奇迹又不是没有，足球是圆的，相信奇迹才能迎来奇迹,142156613360,142135343056,1671204966,15,630943822,保密
回复 @三毛溫特斯 :我相信他可以做到[点赞],142177184576,142135343056,1671221694,0,678686724,男
但还是挺难,142178087152,142124297392,1671223430,0,30993415,男
这个是蒙牛的广告哈哈，最后一幕是这个,142179447216,142124297392,1671227502,21,699873220,保密
好家伙这么多人点赞我还以为我被网暴了[大哭],142189199184,142124297392,1671239532,18,1348600486,保密
回复 @_树梢 :足球场风云变幻，一切皆有可能，我同你一样看好阿根廷，希望潘帕斯雄鹰继续振翅翱翔[给心心],142189417952,142140214416,1671239643,4,1348600486,保密
"诸神黄昏不过也是新一代的更迭出现我们怀恋过去同时更面向未来，永恒荣耀，不灭星辰！
一坛紫融花这个冬天一定是蓝色的！哪怕是野火焚烧 冰雪覆盖，依然是志向不改，信念不衰。潘帕斯雄鹰必将翱翔🇦🇷，伟大的马拉多纳请再一次保佑阿根廷吧。",142136400240,0,1671197490,58,31637928,男
