message,rpid_str,parent,ctime,like,mid,sex
哈兰德有三冠，西西有干爹，合理合理,211722806608,0,1710033149,1,3546573401229922,保密
呦西,210745506192,0,1709427190,1,483556637,保密
哈兰德国家队都参加不了欧洲杯，你觉得他有资格吗，不要求他拿冠军参加总可以吧,210392548592,0,1709208518,0,473683366,保密
梅西有什么？哈兰德三冠王绝对主力 打破英超单赛季进球记录 美职联月子王也配？,210546626496,210392548592,1709301598,8,6669908,保密
回复 @我是一个憨B : 然后呢？除了粉丝投票，队长投票那些人是职业操守不是有问题？明明知道哈兰德的成就但还是给了梅西，是什么意思？,210673753232,210546626496,1709378386,0,170787446,男
回复 @夜巡望樂 :投票前：肯定没有嘻嘻 被提名后：只是陪跑 还是哈兰德的 偷到手后：骂我家哥哥干嘛 都是队长投的 要怪怪他们啊[OK],210696961792,210673753232,1709387578,8,6669908,保密
"回复 @我是一个憨B : 应该是提名前：肯定没有我家哟西
提名后：我家哟西哥哥只是陪跑的，用我家哟西哥哥陪跑含金量更足
偷到后瞬间：我家哟西哥哥是冤枉他，这是把我家哟西哥哥架起来烤
偷到后一小时后：又不是我投的，是我那些队长的投的，要怪就怪他们啊
偷到后一天：我家哟西哥哥拿这个奖实至名归好嘛？
偷到后三天：哈兰德什么废物，也配和我家哟西哥哥相提并论？
投到后一周：我家哟西哥哥不需要XX奖来证明自己，但是XX奖需要我家哟西哥哥来证明他的含金量。",210868327552,210696961792,1709482014,4,1092217596,保密
