message,rpid_str,parent,ctime,like,mid,sex
"剥夺巴塞罗那足球俱乐部及其队员2009年欧战一窃荣誉，由当届欧冠亚军曼联递补，由当届金球奖世界足球先生亚军C罗递补
剥夺梅西2010年FIFA金球奖，补发给媒体投票第一名的斯内德
剥夺梅西2019年金球奖，世界足球先生，补发给当届最佳后卫范戴克
补发2020年金球奖给莱万
剥夺梅西2021年金球奖，由当届金球奖亚军莱万递补
剥夺阿根廷男子足球队及其队员2022年FIFA世界杯一窃荣誉，分别由本泽马哈兰德哈兰德获得，
剥夺巴塞罗那2016年西甲，由当届亚军皇马递补
梅西2006年欧冠虽然有效，但上场时间过少，为公平起见，不计入内
仅剥夺梅西五座金球，以示宽大。保留梅西2011年，2012年，2015年金球奖。保留巴塞罗那2011年欧冠。
经查明，2013年延迟投票，责任完全在FIFA。C罗获得2013年国际足联金球奖天经地义，无可指摘。此次评奖破除了“唯荣誉论”“唯梅西论”的桎梏 ，使个人年度表现成为评选金球的唯一标准，是维护足球事业公平正义的一次重大胜利。
破坏程序正义的是FIFA，而非C罗。C罗恰恰是受害者，获得金球奖是应有的补偿。
剥夺梅西2013年银球奖，补发给里贝里
2018年各奖项评选不合理，综合实力和之前情况，都应颁发给C罗。但莫德里奇和C罗之间属于人民内部矛盾，而非梅罗间的敌我矛盾。莫德里奇在2018.6.24世界杯3-0阿根廷的比赛中打进一记世界波，属重大立功表现。为维护程序正义，其荣誉全部保留，不予剥夺。
金球奖和世界足球先生必须彻底改革，取消球迷投票，限制国家队队长投票，仅保留前100名国家。提名应公开透明。杜绝饭圈化，娱乐化。",211765686048,0,1710052570,0,3546642779212254,保密
流量恰饱饱🤓✌️，吃人血馒头，脸都不要了🙅,211645425632,0,1709981718,1,451940328,保密
不是人血，是狗血,211746724496,211645425632,1710044445,1,22967428,男
只有你们鼠粉才认为梅桑实至名归,211746752656,211645425632,1710044478,2,22967428,男
是鼠血馒头，纠正一下,211765630592,211645425632,1710052592,2,3546642779212254,保密
由死的儿子数量定,211602749312,0,1709961915,1,335954305,保密
由把亲爹送去坐牢的年数定,211746919552,211602749312,1710044511,1,22967428,男
回复 @木子宠屋 : 结果梅西父亲安然无恙，有人死了四个儿子。,211757751968,211746919552,1710048951,1,454274734,男
回复 @南方胖头鱼 :死就死啊，我又不是罗粉[嗑瓜子]不如人造霉球王，儿子众多，疯狂洗地,211762845168,211757751968,1710051263,1,22967428,男
回复 @木子宠屋 :你真是毫无人性,211765644560,211762845168,1710052614,0,3546642779212254,保密
回复 @木子宠屋 :最后梅西父子都没坐一天牢,211788264144,211746919552,1710063337,0,335954305,保密
