message,rpid_str,parent,ctime,like,mid,sex
哟西,208055881984,0,1707914812,1,437947772,保密
没必要这样,209004770976,208055881984,1708424145,1,32090494,男
回复 @Jennie-vvv :为啥,209680043696,209004770976,1708769289,0,627443368,男
回复 @油炸章鱼罐头 :那个群体之前那样魔怔 我们没必要像他们一样,209681114048,209680043696,1708769682,1,32090494,男
回复 @Jennie-vvv :已经懂了[脱单doge][捂脸],209945543408,209681114048,1708926629,0,1383465183,保密
回复 @Jennie-vvv :嘿嘿嘿嘿嘿嘿,212369988112,209681114048,1710423914,0,1642110662,男
然后这个赛季双方都被本泽马反杀[辣眼睛][辣眼睛][辣眼睛][辣眼睛]（我是城迷）,187989576624,0,1695986237,5,2074685500,保密
悲惨的故事[妙啊]但是23赛季半决赛被4：0[大哭],209004192096,187989576624,1708423931,0,32090494,男
回复 @Jennie-vvv :大仇得爆[吃瓜],209011319456,209004192096,1708426378,0,2074685500,保密
这场过后，估计瓜在更衣室疯狂diss球员，看看人家梅西[doge],182562972784,0,1692792874,2,444707490,男
