message,rpid_str,parent,ctime,like,mid,sex
说真的，一个能在网络上直播的人（排除完全被时代淘汰）不认识梅西c罗的概率有多少,201280912400,0,1704119983,0,442182150,保密
[嗑瓜子]你就当他不知道，才比较好笑，这不就是乐子吗，你要是看每个段子都这么理性，不是少了很多乐趣。,201295520048,201280912400,1704125668,0,34574470,男
回复 @如果能养条狗就好了 :我知道 我这个是单独的问题,201325988576,201295520048,1704160781,0,442182150,保密
回复 @小火箭6 :没人会闲的没事统计这个[妙啊],201328663056,201325988576,1704162291,0,34574470,男
梅西谁呀,201255235904,0,1704110124,0,470907633,保密
是拖史,207149160256,201255235904,1707412836,0,489902185,男
梅西我熟啊，葡萄牙篮球运动员效力于洛杉矶骑士队是LPL的最强射手[doge],201254878160,0,1704110020,1,667560869,保密
