message,rpid_str,parent,ctime,like,mid,sex
梅西是哪条[笑哭],207483056496,0,1707590170,1,290801966,保密
媒体宣传，难道没有误导消费者吗？梅西在合同中签署一定出场了吗？是不是官方媒体一开始就在误导消费者，只说有大明星，但是不说必会出场，事先没有谈好的合同，事后辱骂，除了跟风起哄，有什么意思，大不了让官方足球协会退门票啊，有什么值得怒吼的呢？比起战争死人，大型活动踩踏安全事件，这还不算严重问题吧，是个别球迷不够冷静，从不知道去思考问题的根源所在，只看表面不去深思官媒，亡羊补牢·未为晚也！！,207473974960,0,1707583490,1,280252594,女
我为啥要思考?关我嗨事，梅西死了也和我无关。钱又不给我,207481748304,207473974960,1707588890,0,377980614,保密
回复 @菲菜君 :谁让你点评？不关你的事，出什么风头？点评干嘛？闲的球疼？,209865840640,207481748304,1708866324,0,280252594,女
不评论,207446753072,0,1707572699,0,275422786,男
