message,rpid_str,parent,ctime,like,mid,sex
没错 就相当于 你去点龙虾 结果上了小龙虾 你不骂店家去骂龙虾[OK],210764919888,0,1709437302,0,2085821402,保密
等风静了，雨停了，钱多人傻又来了。为什么支持国产？国产有问题能办，外国人？躲在核航母后能办个p,207826765424,0,1707798693,0,2115629364,保密
这么说吧，现在完全就是蹭这件事情的热度，似乎支持C罗或者梅西已经成为了一种政治正确，你支持梅西，你就得被骂，就像很多人以前喷C罗一样，现在已经开始回旋票了,207483729152,0,1707590955,0,3493108721387994,男
挺好，充分展示了牢西粉丝的脑回路，梅西挨骂不是他的错，一定是我们的错，你一定要保持住,207759231328,207483729152,1707749420,1,55497156,男
这不很正常，不然出个这事啥都没反应你就高兴了是吧,208579110528,207483729152,1708191424,1,496196956,保密
