message,rpid_str,parent,ctime,like,mid,sex
第一条差点把我笑死了,211385226704,0,1709821246,1,11856843,保密
外网梅西被黑得比咱狠多了,211141265712,0,1709660336,3,1072696771,保密
这不叫黑哥们儿，这叫陈述事实，毕竟哟西偷奖偷得太明目张胆，看球的谁能服气？也就国内把他捧上天[嗑瓜子],211160381600,211141265712,1709688860,11,1636593,保密
错，是国内粉丝太喜欢梅西的荣誉了，觉得梅西那些荣誉就是自己在网上的一切，是宁愿承认梅西不爱粉丝也要把自己跟梅西荣誉绑定的[呲牙],211250007264,211141265712,1709734311,11,281548684,男
回复 @咸鱼な教授 :在外网就是过街老鼠，外国人喜欢直接的强者不喜欢伪君子关键时候没担当的,211917206496,211250007264,1710144906,2,344757345,女
@两耳隔墙花风清扬 你儒外网风评，这才叫国服球王,211045411472,0,1709613504,9,252287154,保密
它都关注请假司尘真实蠕迷会了，你为什么不顺从它呢🤗,211103509136,211045411472,1709642861,4,1301131594,男
