message,rpid_str,parent,ctime,like,mid,sex
皮克一年放弃多少薪水，梅西一年得放弃多少薪水，好几倍的差距呢，如果只是让梅西降薪个一两千万，梅西应该是能接受的，,212336926672,0,1710409523,0,1241913111,保密
不免费，那就捐钱给巴萨还债[星星眼],212196565616,0,1710321659,1,91638376,男
这up真唐，工资帽这么高了搞得俱乐部买不起人还不肯降薪。给你儒打激素的钱不是钱？没有巴萨哪里有这只打激素的老鼠,212010101248,0,1710207779,1,327890156,保密
这么高薪资打到后面重要比赛什么成分都没打出来什么冠军都没有，带头涨薪世界第一出来巴萨报表欠13亿欧。搞得现在巴萨一个莱万都比你儒有用处但还是买不起人，就这样薪资还分了八期还，侏儒简直就是俱乐部的罪人。巴萨高层说梅西是侏儒，打激素的老师妥妥没问题。,212010458208,212010101248,1710208114,0,327890156,保密
才欠13亿，欠薪分期应该给利息，应该给球王20亿，唐氏初中生不懂别叫！,212156985232,212010101248,1710301091,0,90636613,男
你是？,212218635792,212010101248,1710331391,0,694277358,男
