message,rpid_str,parent,ctime,like,mid,sex
如果梅西输了，那他的职业生涯就不完美。那只是和自己比哦！历史地位，如果梅西世界杯俩届亚军美洲杯冠军加上俱乐部的一切荣誉 历史地位在贝利马拉多纳之下，那说明世界杯的重要性远远大于一切赛事（梅西有的俱乐部成绩和美洲杯冠军 马拉多纳和贝利也没有）这意味着C罗5003的历史地位连前十都进不去。而现实是俩位球王有的，梅西全有，而梅西有的，他们却无，世界杯后直接登顶历史第一人一点问题也没有,197175569392,0,1701700495,0,401912633,保密
中国也可以有球王吗,195437469152,0,1700627187,0,487531581,男
"输你大爷,明明赢了还非得谈论如果。",191004358608,0,1697884366,1,196343370,保密
那时候还没决赛。。。,199900717552,191004358608,1703326653,0,1244168212,男
看发布时间,202262338608,191004358608,1704703829,0,384026213,男
