message,rpid_str,parent,ctime,like,mid,sex
梅西没输[生气],212010804992,0,1710208201,0,29019465,男
腿被铲断了，命在旦夕，所以不上场[呲牙],211934034704,0,1710153263,0,507774084,保密
这个还没有当时世预赛时的言论精彩，，2011年在玻利维亚主场1比6负于对手，，当时梅西上场比赛并踢满全场。而上次梅西在与厄瓜多尔比赛后，，缺席了玻利维亚的高原球场，，球队3比o击破玻利维亚的球门。。然后评价高潮迭起，，评论区比春节，甚至是其他的比赛后的评论都精彩万分，，热闹非凡，，各种串子飞起,211922509776,0,1710147889,15,307418944,保密
不是洗啊，玻利维亚主场还是要尊重一下，毕竟海拔3600m，无论哪只低海拔国家的国家队去都有点难受，只不过阿根廷格外难受，在那打客场头一直很铁[呆],211970232736,211922509776,1710168459,4,89569638,保密
细说,212127044432,211922509776,1710267182,0,478047160,保密
