message,rpid_str,parent,ctime,like,mid,sex
内马尔跟呦西在一支球队里，倒了血霉了,210167770112,0,1709056437,3,88253561,保密
呦西,208824050432,0,1708331671,0,1750199328,保密
呦西,208487635344,0,1708154514,2,1566050688,保密
"这个up是真的中立球迷别喷了
，
，
哟西",208542755616,208487635344,1708176426,3,698809223,男
回复 @赤色白桦 :哈哈哈，没有，我没有喷up，我只是说的梅西罢了[doge],208560764960,208542755616,1708182880,1,1566050688,保密
回复 @Lional_Yossi :[doge][doge][doge][doge],208607016368,208560764960,1708222870,2,698809223,男
回复 @赤色白桦 :史上最惨c罗粉up，罗结晶根本容不下他了[滑稽],211527208480,208542755616,1709908032,0,591843278,男
